Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,208,13,0.062500,0.055319,0.058691,0.894910
PQ03_Farranc_tutti.mid,296,139,24,0.172662,0.081081,0.110345,0.813484
PS01_Beethoven_tutti.mid,138,189,22,0.116402,0.159420,0.134557,0.872352
PS02_Chopin_tutti.mid,117,109,10,0.091743,0.085470,0.088496,0.835378
PS03_Mozart_tutti.mid,193,181,14,0.077348,0.072539,0.074866,0.833365
SQ01_Beethoven_tutti.mid,96,210,0,0.000000,0.000000,NaN,NaN
SQ02_Janacek_tutti.mid,154,140,14,0.100000,0.090909,0.095238,0.827979
SQ03_Schubert_tutti.mid,318,189,15,0.079365,0.047170,0.059172,0.875377
VS01_Schumann_tutti.mid,401,192,17,0.088542,0.042394,0.057336,0.834484
VS04_Franck_tutti.mid,311,235,20,0.085106,0.064309,0.073260,0.857476

,,,Ave.,0.087367,0.069861,0.075196,0.764481
