Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,194,11,0.056701,0.046809,0.051282,0.897932
PQ03_Farranc_tutti.mid,296,126,24,0.190476,0.081081,0.113744,0.828630
PS01_Beethoven_tutti.mid,138,179,20,0.111732,0.144928,0.126183,0.856184
PS02_Chopin_tutti.mid,117,98,10,0.102041,0.085470,0.093023,0.838719
PS03_Mozart_tutti.mid,193,178,19,0.106742,0.098446,0.102426,0.809702
SQ01_Beethoven_tutti.mid,96,220,0,0.000000,0.000000,NaN,NaN
SQ02_Janacek_tutti.mid,154,111,13,0.117117,0.084416,0.098113,0.802843
SQ03_Schubert_tutti.mid,318,182,21,0.115385,0.066038,0.084000,0.825056
VS01_Schumann_tutti.mid,401,174,18,0.103448,0.044888,0.062609,0.839596
VS04_Franck_tutti.mid,311,216,24,0.111111,0.077170,0.091082,0.854357

,,,Ave.,0.079674,0.058307,0.065206,0.762059
