Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,194,35,0.180412,0.148936,0.163170,0.506067
PQ03_Farranc_tutti.mid,296,126,68,0.539683,0.229730,0.322275,0.557086
PS01_Beethoven_tutti.mid,138,179,65,0.363128,0.471014,0.410095,0.587272
PS02_Chopin_tutti.mid,117,98,45,0.459184,0.384615,0.418605,0.563645
PS03_Mozart_tutti.mid,193,178,128,0.719101,0.663212,0.690027,0.479847
SQ01_Beethoven_tutti.mid,96,220,13,0.059091,0.135417,0.082278,0.230237
SQ02_Janacek_tutti.mid,154,111,42,0.378378,0.272727,0.316981,0.593213
SQ03_Schubert_tutti.mid,318,182,84,0.461538,0.264151,0.336000,0.465178
VS01_Schumann_tutti.mid,401,174,81,0.465517,0.201995,0.281739,0.493870
VS04_Franck_tutti.mid,311,216,85,0.393519,0.273312,0.322581,0.523451

,,,Ave.,0.341093,0.260057,0.285515,0.522967
