Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,194,28,0.144330,0.119149,0.130536,0.552801
PQ03_Farranc_tutti.mid,296,126,60,0.476190,0.202703,0.284360,0.572238
PS01_Beethoven_tutti.mid,138,179,60,0.335196,0.434783,0.378549,0.589405
PS02_Chopin_tutti.mid,117,98,43,0.438776,0.367521,0.400000,0.560573
PS03_Mozart_tutti.mid,193,178,120,0.674157,0.621762,0.646900,0.473431
SQ01_Beethoven_tutti.mid,96,220,7,0.031818,0.072917,0.044304,0.280956
SQ02_Janacek_tutti.mid,154,111,32,0.288288,0.207792,0.241509,0.637646
SQ03_Schubert_tutti.mid,318,182,62,0.340659,0.194969,0.248000,0.508466
VS01_Schumann_tutti.mid,401,174,63,0.362069,0.157107,0.219130,0.478726
VS04_Franck_tutti.mid,311,216,69,0.319444,0.221865,0.261860,0.575427

,,,Ave.,0.341093,0.260057,0.285515,0.522967
