Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,163,8,0.049080,0.034043,0.040201,0.887357
PQ03_Farranc_tutti.mid,296,163,23,0.141104,0.077703,0.100218,0.819122
PS01_Beethoven_tutti.mid,138,138,17,0.123188,0.123188,0.123188,0.868753
PS02_Chopin_tutti.mid,117,86,6,0.069767,0.051282,0.059113,0.854182
PS03_Mozart_tutti.mid,193,148,13,0.087838,0.067358,0.076246,0.838640
SQ01_Beethoven_tutti.mid,96,222,0,0.000000,0.000000,NaN,NaN
SQ02_Janacek_tutti.mid,154,120,19,0.158333,0.123377,0.138686,0.805867
SQ03_Schubert_tutti.mid,318,144,15,0.104167,0.047170,0.064935,0.828027
VS01_Schumann_tutti.mid,401,122,9,0.073770,0.022444,0.034417,0.783578
VS04_Franck_tutti.mid,311,178,17,0.095506,0.054662,0.069530,0.833600

,,,Ave.,0.069781,0.048422,0.056177,0.751778
