Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,163,7,0.042945,0.029787,0.035176,0.878007
PQ03_Farranc_tutti.mid,296,163,14,0.085890,0.047297,0.061002,0.812363
PS01_Beethoven_tutti.mid,138,138,14,0.101449,0.101449,0.101449,0.863628
PS02_Chopin_tutti.mid,117,86,6,0.069767,0.051282,0.059113,0.883944
PS03_Mozart_tutti.mid,193,148,13,0.087838,0.067358,0.076246,0.838640
SQ01_Beethoven_tutti.mid,96,222,0,0.000000,0.000000,NaN,NaN
SQ02_Janacek_tutti.mid,154,120,16,0.133333,0.103896,0.116788,0.823244
SQ03_Schubert_tutti.mid,318,144,11,0.076389,0.034591,0.047619,0.824864
VS01_Schumann_tutti.mid,401,122,4,0.032787,0.009975,0.015296,0.755227
VS04_Franck_tutti.mid,311,178,12,0.067416,0.038585,0.049080,0.837860

,,,Ave.,0.069781,0.048422,0.056177,0.751778
