Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,226,26,0.115044,0.110638,0.112798,0.535031
PQ03_Farranc_tutti.mid,296,191,58,0.303665,0.195946,0.238193,0.534309
PS01_Beethoven_tutti.mid,138,184,43,0.233696,0.311594,0.267081,0.596176
PS02_Chopin_tutti.mid,117,143,37,0.258741,0.316239,0.284615,0.590847
PS03_Mozart_tutti.mid,193,150,34,0.226667,0.176166,0.198251,0.497907
SQ01_Beethoven_tutti.mid,96,253,10,0.039526,0.104167,0.057307,0.303575
SQ02_Janacek_tutti.mid,154,144,44,0.305556,0.285714,0.295302,0.580536
SQ03_Schubert_tutti.mid,318,147,57,0.387755,0.179245,0.245161,0.406535
VS01_Schumann_tutti.mid,401,132,40,0.303030,0.099751,0.150094,0.436172
VS04_Franck_tutti.mid,311,218,45,0.206422,0.144695,0.170132,0.621850

,,,Ave.,0.182025,0.151533,0.157233,0.511233
