Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,226,18,0.079646,0.076596,0.078091,0.578892
PQ03_Farranc_tutti.mid,296,191,44,0.230366,0.148649,0.180698,0.522895
PS01_Beethoven_tutti.mid,138,184,42,0.228261,0.304348,0.260870,0.591860
PS02_Chopin_tutti.mid,117,143,34,0.237762,0.290598,0.261538,0.593576
PS03_Mozart_tutti.mid,193,150,29,0.193333,0.150259,0.169096,0.432016
SQ01_Beethoven_tutti.mid,96,253,6,0.023715,0.062500,0.034384,0.287878
SQ02_Janacek_tutti.mid,154,144,28,0.194444,0.181818,0.187919,0.603470
SQ03_Schubert_tutti.mid,318,147,36,0.244898,0.113208,0.154839,0.405302
VS01_Schumann_tutti.mid,401,132,30,0.227273,0.074813,0.112570,0.441875
VS04_Franck_tutti.mid,311,218,35,0.160550,0.112540,0.132325,0.654567

,,,Ave.,0.182025,0.151533,0.157233,0.511233
