Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,367,12,0.032698,0.051064,0.039867,0.881406
PQ03_Farranc_tutti.mid,296,370,15,0.040541,0.050676,0.045045,0.853876
PS01_Beethoven_tutti.mid,138,322,11,0.034161,0.079710,0.047826,0.869561
PS02_Chopin_tutti.mid,117,199,8,0.040201,0.068376,0.050633,0.860340
PS03_Mozart_tutti.mid,193,304,18,0.059211,0.093264,0.072435,0.781834
SQ01_Beethoven_tutti.mid,96,528,0,0.000000,0.000000,NaN,NaN
SQ02_Janacek_tutti.mid,154,185,17,0.091892,0.110390,0.100295,0.803327
SQ03_Schubert_tutti.mid,318,301,12,0.039867,0.037736,0.038772,0.873020
VS01_Schumann_tutti.mid,401,312,6,0.019231,0.014963,0.016830,0.758440
VS04_Franck_tutti.mid,311,476,29,0.060924,0.093248,0.073698,0.867783

,,,Ave.,0.041873,0.059943,0.048540,0.754959
