Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,350,30,0.085714,0.127660,0.102564,0.443548
PQ03_Farranc_tutti.mid,296,429,90,0.209790,0.304054,0.248276,0.500409
PS01_Beethoven_tutti.mid,138,386,56,0.145078,0.405797,0.213740,0.591727
PS02_Chopin_tutti.mid,117,237,43,0.181435,0.367521,0.242938,0.588901
PS03_Mozart_tutti.mid,193,345,105,0.304348,0.544041,0.390335,0.462930
SQ01_Beethoven_tutti.mid,96,504,18,0.035714,0.187500,0.060000,0.294931
SQ02_Janacek_tutti.mid,154,186,42,0.225806,0.272727,0.247059,0.606985
SQ03_Schubert_tutti.mid,318,354,82,0.231638,0.257862,0.244048,0.470709
VS01_Schumann_tutti.mid,401,348,103,0.295977,0.256858,0.275033,0.388517
VS04_Franck_tutti.mid,311,491,90,0.183299,0.289389,0.224439,0.603803

,,,Ave.,0.189880,0.301341,0.224843,0.495246
