Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,405,9,0.022222,0.038298,0.028125,0.890938
PQ03_Farranc_tutti.mid,296,433,29,0.066975,0.097973,0.079561,0.831479
PS01_Beethoven_tutti.mid,138,517,23,0.044487,0.166667,0.070229,0.846729
PS02_Chopin_tutti.mid,117,274,11,0.040146,0.094017,0.056266,0.841060
PS03_Mozart_tutti.mid,193,300,21,0.070000,0.108808,0.085193,0.794096
SQ01_Beethoven_tutti.mid,96,477,2,0.004193,0.020833,0.006981,0.822823
SQ02_Janacek_tutti.mid,154,167,15,0.089820,0.097403,0.093458,0.845334
SQ03_Schubert_tutti.mid,318,320,21,0.065625,0.066038,0.065831,0.776692
VS01_Schumann_tutti.mid,401,332,15,0.045181,0.037406,0.040928,0.777877
VS04_Franck_tutti.mid,311,442,39,0.088235,0.125402,0.103586,0.834073

,,,Ave.,0.039002,0.063339,0.046063,0.833264
