Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,405,43,0.106173,0.182979,0.134375,0.403421
PQ03_Farranc_tutti.mid,296,433,114,0.263279,0.385135,0.312757,0.479768
PS01_Beethoven_tutti.mid,138,517,58,0.112186,0.420290,0.177099,0.559021
PS02_Chopin_tutti.mid,117,274,49,0.178832,0.418803,0.250639,0.519420
PS03_Mozart_tutti.mid,193,300,122,0.406667,0.632124,0.494929,0.447692
SQ01_Beethoven_tutti.mid,96,477,29,0.060797,0.302083,0.101222,0.208386
SQ02_Janacek_tutti.mid,154,167,55,0.329341,0.357143,0.342679,0.562357
SQ03_Schubert_tutti.mid,318,320,108,0.337500,0.339623,0.338558,0.412572
VS01_Schumann_tutti.mid,401,332,127,0.382530,0.316708,0.346521,0.368636
VS04_Franck_tutti.mid,311,442,102,0.230769,0.327974,0.270916,0.565824

,,,Ave.,0.192691,0.295864,0.222349,0.499463
